Log10scanRate,Log10kf,Log10keq,peak flux,half peak potential,half peak transfer coefficient
-3.0,0.7999999999998669,-7.667561540084395,-0.007703325488206498,-0.5800000000003059,-0.4718950913328608
-3.0,1.799999999999867,-7.667561540084395,-0.01262387026256428,-1.3550000000002986,-0.4060087011164893
-3.0,2.8000000000000047,-7.667561540084395,-0.024322622581581868,-2.71000000000027,-0.3196743352288213
-3.0,3.7999999999999976,-7.667561540084395,-0.050073322654231735,-4.6150000000002285,-0.2510640570885201
-3.0,4.800000000000001,-7.667561540084395,-0.09969101307498522,-7.0050000000001775,-0.18076067406469884
-3.0,5.800000000000001,-7.667561540084395,-0.16012057171052427,-9.17000000000034,-0.13844352425848272
-3.0,-2.0,-7.5003129173815966,-0.005776021293528756,-0.02500000000030558,-0.49386423735031204
-3.0,-1.8000000006743975,-7.5003129173815966,-0.00581800457029309,-0.03000000000030558,-0.4944263536889084
-3.0,-1.600000000261,-7.5003129173815966,-0.0058704926700411785,-0.040000000000305576,-0.49417181054449794
-3.0,-1.3999999995129109,-7.5003129173815966,-0.005936012089738634,-0.05000000000030557,-0.4944466633738467
-3.0,-1.200000000330522,-7.5003129173815966,-0.00601764707142952,-0.06500000000030556,-0.4941093159619196
-3.0,-1.0,-7.5003129173815966,-0.006119140530706224,-0.08000000000030558,-0.4945341957499134
-3.0,-0.8000000001263549,-7.5003129173815966,-0.00624500485233117,-0.1000000000003056,-0.49460903765099884
-3.0,-0.5999999999152085,-7.5003129173815966,-0.006400641392372789,-0.12500000000030562,-0.4944808125022777
-3.0,-0.3999999999492702,-7.5003129173815966,-0.006592467940422999,-0.16000000000030565,-0.4930539766630022
-3.0,-0.19999999998636683,-7.5003129173815966,-0.00682805531943384,-0.19500000000030568,-0.49297332065050226
-3.0,0.0,-7.5003129173815966,-0.007116278320203228,-0.2400000000003057,-0.49187851973343255
-3.0,0.20000000001065574,-7.5003129173815966,-0.0074674930729010545,-0.3000000000003057,-0.4886606132362732
-3.0,1.0,-7.5003129173815966,-0.009776353516261379,-0.645000000000306,-0.467547012064848
-3.0,2.0,-7.5003129173815966,-0.016370898868604288,-1.4650000000002965,-0.4010457518500929
-3.0,3.0,-7.5003129173815966,-0.031889696187308414,-2.845000000000267,-0.32180367611488925
-3.0,4.0,-7.5003129173815966,-0.06556160628218798,-4.700000000000228,-0.2590512914500991
-3.0,5.0,-7.5003129173815966,-0.13013065805992813,-6.985000000000179,-0.18990917744228192
-3.0,6.0,-7.5003129173815966,-0.21013000349103586,-9.085000000000328,-0.1445461931564958
-3.0,1.1999999999996949,-7.5003129173815966,-0.010670874271518329,-0.7700000000003061,-0.45774899088161863
